tac,cell,countyId,latitude,longitude
23575,162946843,632223,37.92497,101.56578999999999
23602,85142937,630103,37.474721,102.641511
23599,85542872,630121,38.03071,102.41034
23610,85311384,630222,37.19094,103.66482
38679,85724825,632223,37.897222,101.628333
38679,162951961,632223,38.009444,102.015833
38680,85728408,632222,38.87277,101.50305
38679,85742747,632222,37.806944,101.761944
38682,117195481,632221,38.396665999999996,102.281111
38695,162032928,630105,37.529722,102.621944
38695,85039262,630105,37.5175,102.59861
38696,251565922,630104,37.462777,102.611666
38696,250631512,630103,37.449444,102.611388
38699,161639964,630105,37.518333,102.538333
38698,161494299,630103,37.4075,102.547777
38700,251487066,630105,37.56416,102.60027
38699,161607449,630105,37.51931,102.51835
38701,161743401,630106,37.53,102.335833
38701,116519001,630106,37.518611,102.383611
38701,161688601,630123,37.553055,102.048611
38701,250840408,630106,37.494166,102.373888
38701,161756718,630106,37.50222,102.435
38702,161757215,630106,37.3525,102.422777
38701,58,630106,37.52917,102.33583
38702,161798179,630106,37.453333,102.38027699999999
38702,161767205,630106,37.391666,102.353611
38702,250831961,630106,37.305555,102.501388
38702,162062903,630106,37.353055,102.452222
38703,161819161,630121,37.785521,102.543451
38702,250812505,630106,37.385277,102.325555
38703,85233570,630121,37.81,102.529166
38702,84983448,630106,37.354444,102.439444
38704,116465150,630105,37.555,102.62167
38703,162073112,630121,37.97,102.303333
38705,250792536,630104,37.488611,102.617777
38703,251151450,630121,37.798333,102.538333
38707,251538798,630104,37.499719999999996,102.59694
38703,85572248,630121,38.149166,102.018333
38708,161586727,630104,37.503887999999996,102.573888
38705,250842712,630104,37.4875,102.614722
38707,116457432,630104,37.49741,102.608478
38708,85707928,630105,37.515555,102.585555
38708,162,630104,37.50167,102.57389
38709,161910552,630103,37.48444,102.64777
38709,85662366,630103,37.473611,102.648055
38709,162026776,630103,37.484166,102.653055
38711,163144474,630225,36.72201,103.30435
38710,85671074,630102,37.45111,102.66444
38712,162329626,630202,37.35626,103.13798
38711,251601508,630224,37.03192,103.07572
38711,85852058,630224,36.77453,103.16967
38712,162429725,630202,37.37373,103.27237
38714,251122266,630222,37.19274,103.65897
38712,251128412,630202,37.55992,103.26889
38715,116650210,630203,37.3645,102.89771999999999
38713,162358560,630223,37.67597,102.67046
38715,162475297,630203,37.35347,102.91603
38713,163126552,630223,37.69849,102.81981999999999
38713,85298589,630223,37.68504,102.82037
38716,251097946,630224,36.74738,103.13114
38713,85961115,630223,37.70585,102.74855
38716,85406622,630224,37.03769,102.99305
38714,92,630222,37.19274,103.65898
38728,163336986,632322,36.868611,102.75527699999999
38714,85840539,630222,36.83083,103.60148
38743,162677016,632524,36.14694,100.37972
38715,162476577,630203,37.308659999999996,103.01538
38744,162618655,632522,35.848333,101.550833
38715,251644761,630203,37.35889,102.94734
38744,251341401,632522,35.744166,101.201944
38745,162674200,632525,36.746387999999996,101.916944
38716,85360281,630224,36.86609,102.90099
38747,162550566,632521,37.686388,100.291111
38728,163364377,632322,36.922778,102.784444
38747,162612506,632521,37.141944,101.484166
38729,163381795,632324,35.603333,102.455
38743,162629658,632524,36.258055,100.976666
38759,163192600,632621,35.33463,101.0952
38744,116948190,632522,36.121533,101.464371
38763,163245602,632622,33.80958,101.59213
38745,251337049,632525,36.610555,101.850277
38775,116744159,632723,34.5709,97.81766
38746,162651929,632523,37.060555,102.2175
38776,163094303,632701,33.86293,97.86528
38747,116926168,632521,37.11972,101.48166
38747,162699551,632521,37.251666,101.229722
38747,85630104,632521,37.646301,100.516961
38791,117071578,632802,38.21669,98.22415
38761,250882659,632623,34.825833,100.764166
38792,117053673,632802,38.20557,98.20183
38764,250905688,632626,35.142777,98.74
38793,251315036,632822,37.16073,98.95203
38775,40,632723,34.13066,98.00069
38776,85870239,632701,33.85279,97.86973
38824,117131225,632801,37.20296,95.6774
38777,251066714,632725,33.18915,96.83568
38824,162185753,632801,37.26638,95.71074
38779,163088921,632724,34.58607,96.12234
38791,163532059,632802,38.61564,96.732
38839,250743133,630102,37.45194,102.68138
38792,251658074,632802,38.23231,98.24321
38840,38,630102,37.43167,102.70833
38794,162839070,632803,39.21616,92.32007
38842,116488665,630103,37.474722,102.641388
38844,161537051,630104,37.502262,102.575803
38824,116807896,632801,37.26708,95.76998
38845,85115033,630121,37.761666,102.61
38824,250988120,632801,37.26513,95.72702
5636121,1075118106,630104,37.47926,102.61551
38827,117145821,632801,37.210119999999996,95.93171
38827,162236953,632801,37.46114,95.87583
38827,85491098,632801,37.84565,96.25592
5636137,1078157338,630104,37.48712,102.62872
38839,251506008,630102,37.446388,102.677222
38840,116702424,630102,37.445,102.704444
38840,251526234,630102,37.439444,102.72
38842,154,630103,37.46917,102.65417
38844,161928739,630104,37.500277,102.575
38845,161811994,630121,37.758333,102.578333
38845,161865756,630121,37.668888,102.473888
38845,85204634,630121,37.750833,102.598333
5668889,1208463386,632523,36.916109999999996,102.29832999999999
5636125,1075990554,630105,37.59278,102.61639
5636137,1073979423,630103,37.48,102.64306
23591,85133465,630105,37.5025,102.62778
