cddfef31d2b5,0bc6215eeb0c,7,1685204328501,38696,85199256,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,1,1685204328501,38696,85199256,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,20,1685204328543,38696,85199256,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,7,1685218735381,38696,161563673,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,1,1685218735381,38696,161563673,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,20,1685218735425,38696,161563673,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,1,1685233143345,38696,85199256,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,20,1685233143386,38696,85199256,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,20,1685247551082,38696,85199256,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,1,1685261958083,38696,85199256,460,1389726,86708506
cddfef31d2b5,0bc6215eeb0c,7,1685261958083,38696,85199256,460,1389726,86708506
